Class Year,Major Division,Are you more of an early bird or a night owl?,"How long do you sleep during weekdays, on average?","How productive are you during weekdays, on average?
Rate your productivity on the following scales: 1 = not productive, 2-4 = somewhat productive, 5 = very productive","On average, how stressed do you feel during weekdays?
Rate your stress on the following scales: 1 = not stressed, 2-4 = somewhat stressed, 5 = very stressed"
2028,"Natural Science, Interdivisional",Night Owl,5-7 hours,Very productive,Somewhat stressed
2028,Natural Science,Early Bird,5-7 hours,Somewhat productive,Not stressed
2028,Social Science,Night Owl,More than 7 hours,Very productive,Not stressed
2025,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Not stressed
2026,Humanities,Early Bird,More than 7 hours,Very productive,Not stressed
2026,"Social Science, Natural Science",Early Bird,Less than 5 hours,Somewhat productive,Somewhat stressed
2026,Interdivisional,Night Owl,More than 7 hours,Not productive,Very stressed
2028,"Social Science, Natural Science",Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2028,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Very stressed
2028,Interdivisional,Early Bird,5-7 hours,Somewhat productive,Very stressed
2025,"Social Science, Natural Science, Interdivisional",Night Owl,5-7 hours,Very productive,Somewhat stressed
2028,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2025,Interdivisional,Night Owl,More than 7 hours,Somewhat productive,Somewhat stressed
2027,Social Science,Night Owl,5-7 hours,Not productive,Somewhat stressed
2028,Interdivisional,Night Owl,5-7 hours,Very productive,Somewhat stressed
2027,Natural Science,Night Owl,More than 7 hours,Somewhat productive,Very stressed
2028,Natural Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2028,Natural Science,Early Bird,5-7 hours,Very productive,Somewhat stressed
2027,Social Science,Early Bird,5-7 hours,Very productive,Very stressed
2027,Natural Science,Night Owl,Less than 5 hours,Somewhat productive,Not stressed
2025,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Very stressed
2028,Humanities,Night Owl,More than 7 hours,Somewhat productive,Somewhat stressed
2027,Natural Science,Early Bird,More than 7 hours,Not productive,Very stressed
2025,Social Science,Night Owl,5-7 hours,Very productive,Somewhat stressed
2027,Natural Science,Early Bird,More than 7 hours,Somewhat productive,Somewhat stressed
2027,Natural Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Natural Science,Early Bird,Less than 5 hours,Very productive,Very stressed
2026,"Social Science, Natural Science",Night Owl,More than 7 hours,Very productive,Not stressed
2026,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Humanities,Night Owl,5-7 hours,Not productive,Very stressed
2027,Humanities,Night Owl,5-7 hours,Somewhat productive,Very stressed
2026,Social Science,Early Bird,More than 7 hours,Very productive,Very stressed
2028,Humanities,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2027,Interdivisional,Early Bird,More than 7 hours,Very productive,Somewhat stressed
2025,Natural Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Humanities,Night Owl,Less than 5 hours,Not productive,Very stressed
2027,Humanities,Night Owl,More than 7 hours,Somewhat productive,Somewhat stressed
2027,"Humanities, Social Science",Early Bird,5-7 hours,Somewhat productive,Somewhat stressed
2028,Humanities,Night Owl,Less than 5 hours,Somewhat productive,Somewhat stressed
2027,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Social Science,Night Owl,More than 7 hours,Somewhat productive,Very stressed
2025,Humanities,Night Owl,5-7 hours,Not productive,Somewhat stressed
2028,,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Social Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2027,Natural Science,Early Bird,More than 7 hours,Not productive,Somewhat stressed
2027,Humanities,Night Owl,Less than 5 hours,Somewhat productive,Very stressed
2027,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2025,"Humanities, Natural Science",Early Bird,5-7 hours,Very productive,Very stressed
2025,Interdivisional,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Social Science,Night Owl,5-7 hours,Somewhat productive,Very stressed
2026,Social Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2028,"Social Science, Natural Science",Early Bird,5-7 hours,Somewhat productive,Very stressed
2026,Social Science,Early Bird,5-7 hours,Somewhat productive,Very stressed
2027,Social Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2025,"Humanities, Interdivisional",Early Bird,More than 7 hours,Somewhat productive,Somewhat stressed
2025,Natural Science,Night Owl,5-7 hours,Not productive,Somewhat stressed
2028,Social Science,Early Bird,More than 7 hours,Very productive,Very stressed
2027,Social Science,Night Owl,5-7 hours,Not productive,Somewhat stressed
2028,"Humanities, Social Science",Night Owl,More than 7 hours,Somewhat productive,Very stressed
2028,Social Science,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2025,Social Science,Night Owl,5-7 hours,Very productive,Somewhat stressed
2027,Natural Science,Early Bird,More than 7 hours,Very productive,Very stressed
2027,Social Science,Night Owl,5-7 hours,Not productive,Very stressed
2028,Natural Science,Night Owl,Less than 5 hours,Somewhat productive,Somewhat stressed
,,Early Bird,More than 7 hours,Not productive,Very stressed
,,Night Owl,Less than 5 hours,Very productive,Not stressed
,,Early Bird,5-7 hours,Somewhat productive,Very stressed
2025,Social Science,Night Owl,Less than 5 hours,Very productive,Very stressed
2026,Interdivisional,Night Owl,Less than 5 hours,Very productive,Not stressed
2028,Interdivisional,Night Owl,Less than 5 hours,Somewhat productive,Not stressed
2025,Humanities,Early Bird,More than 7 hours,Not productive,Very stressed
2027,Social Science,Night Owl,Less than 5 hours,Very productive,Not stressed
2026,Natural Science,Early Bird,Less than 5 hours,Very productive,Not stressed
2027,Humanities,Night Owl,More than 7 hours,Somewhat productive,Very stressed
2028,"Natural Science, Interdivisional",Early Bird,Less than 5 hours,Very productive,Very stressed
2026,Social Science,Early Bird,5-7 hours,Not productive,Very stressed
2027,Social Science,Night Owl,Less than 5 hours,Very productive,Very stressed
2025,Humanities,Early Bird,Less than 5 hours,Very productive,Not stressed
2026,Interdivisional,Night Owl,More than 7 hours,Not productive,Very stressed
2027,Social Science,Night Owl,Less than 5 hours,Very productive,Somewhat stressed
2028,Social Science,Night Owl,More than 7 hours,Somewhat productive,Not stressed
2027,Interdivisional,Early Bird,More than 7 hours,Somewhat productive,Very stressed
2025,Natural Science,Night Owl,Less than 5 hours,Very productive,Very stressed
2026,Humanities,Night Owl,5-7 hours,Somewhat productive,Somewhat stressed
2026,Interdivisional,Early Bird,More than 7 hours,Very productive,Very stressed
